API Call Date, API Call Time,  Running Count, City Name, Return Code
2019-09-04,12:59:03.858813,1,belushya guba,404
2019-09-04,12:59:03.974274,2,ushuaia,200
2019-09-04,12:59:04.114777,3,mataura,200
2019-09-04,12:59:04.417682,4,cape town,200
2019-09-04,12:59:04.557873,5,itarema,200
2019-09-04,12:59:04.772210,6,faya,200
2019-09-04,12:59:05.083178,7,deputatskiy,200
2019-09-04,12:59:05.342681,8,ngukurr,404
2019-09-04,12:59:05.471841,9,new norfolk,200
2019-09-04,12:59:05.704897,10,rikitea,200
2019-09-04,12:59:05.977215,11,atuona,200
2019-09-04,12:59:06.259224,12,butaritari,200
2019-09-04,12:59:06.499343,13,rikitea,200
2019-09-04,12:59:06.779085,14,mataura,200
2019-09-04,12:59:06.933073,15,hermanus,200
2019-09-04,12:59:07.201177,16,atuona,200
2019-09-04,12:59:07.310612,17,jamestown,200
2019-09-04,12:59:07.601867,18,butaritari,200
2019-09-04,12:59:07.726833,19,hilo,200
2019-09-04,12:59:08.063540,20,sept-iles,200
2019-09-04,12:59:08.203811,21,tacoronte,200
2019-09-04,12:59:08.442211,22,cape town,200
2019-09-04,12:59:08.568169,23,boden,200
2019-09-04,12:59:08.786467,24,dasoguz,200
2019-09-04,12:59:09.015854,25,ushuaia,200
2019-09-04,12:59:09.138408,26,nalut,200
2019-09-04,12:59:09.369421,27,busselton,200
2019-09-04,12:59:09.592694,28,youghal,200
2019-09-04,12:59:09.925661,29,albany,200
2019-09-04,12:59:10.060875,30,chuy,200
2019-09-04,12:59:10.189640,31,hilo,200
2019-09-04,12:59:10.299372,32,skagastrond,404
2019-09-04,12:59:10.499229,33,buala,200
2019-09-04,12:59:10.755926,34,lompoc,200
2019-09-04,12:59:10.912141,35,saint-philippe,200
2019-09-04,12:59:11.247378,36,uporovo,200
2019-09-04,12:59:11.520605,37,bijar,200
2019-09-04,12:59:11.775627,38,rikitea,200
2019-09-04,12:59:11.882975,39,belushya guba,404
2019-09-04,12:59:12.011302,40,cairns,200
2019-09-04,12:59:12.153255,41,mtambile,200
2019-09-04,12:59:12.376845,42,bengbu,200
2019-09-04,12:59:12.595526,43,cap malheureux,200
2019-09-04,12:59:12.829386,44,khatanga,200
2019-09-04,12:59:12.948001,45,temaraia,404
