,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
0,Ushuaia,0,AR,09/04/19,60,-54.81,-68.31,41.0,10.8
1,Mataura,100,NZ,09/04/19,96,-46.19,168.86,46.004000000000055,1.73
2,Cape Town,20,ZA,09/04/19,77,-33.93,18.42,60.00800000000001,10.3
3,Itarema,74,BR,09/04/19,52,-2.92,-39.92,86.99000000000002,7.54
4,Faya,40,SA,09/04/19,47,18.39,42.45,78.80000000000001,2.1
5,Deputatskiy,100,RU,09/04/19,83,69.3,139.9,36.95,0.68
6,New Norfolk,29,AU,09/04/19,97,-42.78,147.06,46.004000000000055,2.6
7,Rikitea,95,PF,09/04/19,71,-23.12,-134.97,72.95,3.31
8,Atuona,74,PF,09/04/19,74,-9.8,-139.03,78.53000000000004,3.92
9,Butaritari,95,KI,09/04/19,74,3.07,172.79,83.2100000000001,2.43
10,Rikitea,95,PF,09/04/19,71,-23.12,-134.97,72.95,3.31
11,Mataura,100,NZ,09/04/19,96,-46.19,168.86,46.004000000000055,1.73
12,Hermanus,23,ZA,09/04/19,82,-34.42,19.24,57.992,0.89
13,Atuona,74,PF,09/04/19,74,-9.8,-139.03,78.53000000000004,3.92
14,Jamestown,13,AU,09/04/19,60,-33.21,138.6,54.77000000000007,3.61
15,Butaritari,95,KI,09/04/19,74,3.07,172.79,83.2100000000001,2.43
16,Hilo,90,US,09/04/19,88,19.71,-155.08,73.4,3.6
17,Sept-Iles,90,CA,09/04/19,93,50.2,-66.38,51.00800000000001,7.7
18,Tacoronte,20,ES,09/04/19,72,28.48,-16.41,77.0,6.2
19,Cape Town,20,ZA,09/04/19,77,-33.93,18.42,60.00800000000001,10.3
20,Boden,0,SE,09/04/19,76,65.83,21.69,53.6,2.6
21,Dasoguz,0,TM,09/04/19,48,41.84,59.97,66.2,4.42
22,Ushuaia,0,AR,09/04/19,60,-54.81,-68.31,41.0,10.8
23,Nalut,75,LY,09/04/19,49,31.86,10.98,80.87000000000006,9.15
24,Busselton,79,AU,09/04/19,65,-33.64,115.35,39.00200000000008,5.12
25,Youghal,40,IE,09/04/19,62,51.95,-7.85,57.2,12.3
26,Albany,90,US,09/04/19,73,42.65,-73.75,78.99800000000002,6.2
27,Chuy,48,UY,09/04/19,59,-33.69,-53.46,48.650000000000006,6.67
28,Hilo,90,US,09/04/19,88,19.71,-155.08,73.4,3.6
29,Buala,20,SB,09/04/19,84,-8.15,159.59,78.53000000000004,3.47
30,Lompoc,1,US,09/04/19,44,34.64,-120.46,89.00600000000003,1.5
31,Saint-Philippe,75,CA,09/04/19,60,45.36,-73.48,75.2,10.8
32,Uporovo,100,RU,09/04/19,87,56.31,66.27,47.75,0.59
33,Bijar,0,IR,09/04/19,55,35.87,47.6,59.99000000000002,2.31
34,Rikitea,95,PF,09/04/19,71,-23.12,-134.97,72.95,3.31
35,Cairns,86,AU,09/04/19,87,-16.92,145.77,53.00600000000003,0.96
36,Mtambile,2,TZ,09/04/19,82,-5.38,39.7,77.81000000000009,8.69
37,Bengbu,57,CN,09/04/19,92,32.92,117.38,66.83000000000004,1.6
38,Cap Malheureux,75,MU,09/04/19,83,-19.98,57.61,71.99600000000005,5.7
39,Khatanga,15,RU,09/04/19,74,71.98,102.47,30.11000000000008,1.75
40,Omsukchan,93,RU,09/04/19,87,62.53,155.8,39.29000000000002,3.24
41,Orlik,0,PL,09/04/19,59,53.95,17.74,68.0,2.6
42,Hwange,0,ZW,09/04/19,31,-18.35,26.5,69.89000000000001,2.32
43,Ucluelet,75,CA,09/04/19,82,48.94,-125.55,64.99400000000009,1.5
44,Ornskoldsvik,0,SE,09/04/19,58,63.29,18.72,55.400000000000006,1.5
45,Puerto Ayora,40,EC,09/04/19,65,-0.74,-90.35,78.80000000000001,9.8
46,Candolim,75,IN,09/04/19,88,15.52,73.76,78.80000000000001,3.1
47,Hobart,29,AU,09/04/19,97,-42.88,147.33,46.004000000000055,2.6
48,Kapaa,40,US,09/04/19,74,22.08,-159.32,82.4,5.1
49,Kapaa,40,US,09/04/19,74,22.08,-159.32,82.4,5.1
50,Khasan,100,RU,09/04/19,97,42.43,130.64,63.59000000000002,0.47
51,New Norfolk,29,AU,09/04/19,97,-42.78,147.06,46.004000000000055,2.6
52,Severo-Kurilsk,83,RU,09/04/19,92,50.68,156.12,49.91000000000008,9.46
53,Rawson,55,AR,09/04/19,45,-43.3,-65.11,40.91000000000008,3.06
54,Georgetown,75,GY,09/04/19,88,6.8,-58.16,82.4,5.1
55,Bluff,0,AU,09/04/19,28,-23.58,149.07,60.71000000000008,1.52
56,Rikitea,95,PF,09/04/19,71,-23.12,-134.97,72.95,3.31
57,Sulangan,99,PH,09/04/19,72,11.14,123.72,81.95,3.36
58,Tuktoyaktuk,75,CA,09/04/19,87,69.44,-133.03,46.4,2.1
59,Batemans Bay,28,AU,09/04/19,91,-35.71,150.18,53.99600000000005,0.89
60,Kapaa,40,US,09/04/19,74,22.08,-159.32,82.4,5.1
61,East London,75,ZA,09/04/19,93,-33.02,27.91,59.0,2.6
62,Kapaa,40,US,09/04/19,74,22.08,-159.32,82.4,5.1
63,Sao Filipe,0,CV,09/04/19,83,14.9,-24.5,81.05000000000001,5.43
64,Vardo,75,US,09/04/19,52,39.62,-77.74,91.99400000000009,4.6
65,Saldanha,1,PT,09/04/19,25,41.42,-6.55,85.01000000000008,5.14
66,Nanortalik,95,GL,09/04/19,80,60.14,-45.24,43.070000000000064,4.51
67,Fenoarivo,20,MG,09/04/19,72,-18.93,47.44,59.0,4.1
68,Bluff,0,AU,09/04/19,28,-23.58,149.07,60.71000000000008,1.52
69,Batesville,1,US,09/04/19,59,35.77,-91.64,93.00200000000008,1.25
70,Jamestown,13,AU,09/04/19,60,-33.21,138.6,54.77000000000007,3.61
71,Cherskiy,14,RU,09/04/19,61,68.75,161.3,39.110000000000085,2.72
72,Torbay,75,CA,09/04/19,77,47.66,-52.73,71.00600000000003,4.1
73,Ribeira Grande,20,PT,09/04/19,64,38.52,-28.7,75.2,8.2
74,Port Alfred,95,ZA,09/04/19,93,-33.59,26.89,57.992,0.45
75,Jumla,99,NP,09/04/19,98,29.28,82.18,53.690000000000026,1.07
76,Hithadhoo,49,MV,09/04/19,77,-0.6,73.08,83.75,7.1
77,Bilma,2,NE,09/04/19,13,18.69,12.92,102.11000000000008,0.84
78,Vardo,75,US,09/04/19,52,39.62,-77.74,91.99400000000009,4.6
79,Port Alfred,95,ZA,09/04/19,93,-33.59,26.89,57.992,0.45
80,Mataura,100,NZ,09/04/19,96,-46.19,168.86,46.004000000000055,1.73
81,Nador,20,MA,09/04/19,78,35.17,-2.93,82.4,2.6
82,Busselton,79,AU,09/04/19,65,-33.64,115.35,39.00200000000008,5.12
83,Mataura,100,NZ,09/04/19,96,-46.19,168.86,46.004000000000055,1.73
84,Punta Arenas,75,CL,09/04/19,69,-53.16,-70.91,39.00200000000008,2.24
85,Saskylakh,84,RU,09/04/19,84,71.97,114.09,31.73000000000004,4.89
86,Ucluelet,75,CA,09/04/19,82,48.94,-125.55,64.99400000000009,1.5
87,Albany,90,US,09/04/19,73,42.65,-73.75,78.99800000000002,6.2
88,Saint George,0,GR,09/04/19,44,39.45,22.34,78.80000000000001,1.0
89,Port Alfred,95,ZA,09/04/19,93,-33.59,26.89,57.992,0.45
90,Ushuaia,0,AR,09/04/19,60,-54.81,-68.31,41.0,10.8
91,Rikitea,95,PF,09/04/19,71,-23.12,-134.97,72.95,3.31
92,Hilo,90,US,09/04/19,88,19.71,-155.08,73.4,3.6
93,Mende,0,FR,09/04/19,23,44.52,3.5,77.0,4.1
94,Bluff,0,AU,09/04/19,28,-23.58,149.07,60.71000000000008,1.52
95,Kavieng,100,PG,09/04/19,77,-2.57,150.8,81.77000000000007,4.04
96,Rikitea,95,PF,09/04/19,71,-23.12,-134.97,72.95,3.31
97,Micheweni,0,TZ,09/04/19,81,-4.97,39.83,77.45,7.41
98,Bonwapitse,0,BW,09/04/19,16,-23.08,26.7,67.19000000000003,1.76
99,Jamestown,13,AU,09/04/19,60,-33.21,138.6,54.77000000000007,3.61
100,Jamestown,13,AU,09/04/19,60,-33.21,138.6,54.77000000000007,3.61
101,Jamestown,13,AU,09/04/19,60,-33.21,138.6,54.77000000000007,3.61
102,Blind River,1,CA,09/04/19,45,46.19,-82.96,66.2,2.1
103,Mataura,100,NZ,09/04/19,96,-46.19,168.86,46.004000000000055,1.73
104,Lavrentiya,94,RU,09/04/19,97,65.58,-170.99,43.610000000000085,4.39
105,Padang,84,ID,09/04/19,84,-0.92,100.36,81.59000000000003,8.75
106,Bredasdorp,65,ZA,09/04/19,81,-34.53,20.04,57.00200000000008,2.1
107,Chuy,48,UY,09/04/19,59,-33.69,-53.46,48.650000000000006,6.67
108,Muros,20,ES,09/04/19,60,42.77,-9.06,78.00800000000001,7.7
