,base,clouds,cod,coord,dt,id,main,name,rain,sys,timezone,visibility,weather,wind
0,stations,{'all': 0},200,"{'lon': -68.31, 'lat': -54.81}",1567619933,3833367,"{'temp': 278.15, 'pressure': 1030, 'humidity': 60, 'temp_min': 278.15, 'temp_max': 278.15}",Ushuaia,,"{'type': 1, 'id': 8303, 'message': 0.0059, 'country': 'AR', 'sunrise': 1567595283, 'sunset': 1567634224}",-10800,10000.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]","{'speed': 10.8, 'deg': 230}"
1,stations,{'all': 100},200,"{'lon': 168.86, 'lat': -46.19}",1567619943,6201424,"{'temp': 280.93, 'pressure': 1001, 'humidity': 96, 'temp_min': 280.93, 'temp_max': 280.93}",Mataura,,"{'type': 3, 'id': 2008959, 'message': 0.008, 'country': 'NZ', 'sunrise': 1567624122, 'sunset': 1567664330}",43200,,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]","{'speed': 1.73, 'deg': 330.346}"
2,stations,{'all': 20},200,"{'lon': 18.42, 'lat': -33.93}",1567619382,3369157,"{'temp': 288.24, 'pressure': 1023, 'humidity': 77, 'temp_min': 287.59, 'temp_max': 288.71}",Cape Town,,"{'type': 1, 'id': 1899, 'message': 0.0066, 'country': 'ZA', 'sunrise': 1567573288, 'sunset': 1567614599}",7200,10000.0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]","{'speed': 10.3, 'deg': 170}"
3,stations,{'all': 74},200,"{'lon': -39.92, 'lat': -2.92}",1567619944,3393692,"{'temp': 303.7, 'pressure': 1012.04, 'humidity': 52, 'temp_min': 303.7, 'temp_max': 303.7, 'sea_level': 1012.04, 'grnd_level': 1008.33}",Itarema,,"{'message': 0.0059, 'country': 'BR', 'sunrise': 1567586230, 'sunset': 1567629654}",-10800,,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]","{'speed': 7.54, 'deg': 79.295}"
4,stations,{'all': 40},200,"{'lon': 42.45, 'lat': 18.39}",1567619944,110690,"{'temp': 298.67, 'pressure': 1021, 'humidity': 47, 'temp_min': 298.15, 'temp_max': 299.15}",Faya,,"{'type': 1, 'id': 7396, 'message': 0.0054, 'country': 'SA', 'sunrise': 1567565777, 'sunset': 1567610578}",10800,10000.0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]","{'speed': 2.1, 'deg': 270}"
5,stations,{'all': 100},200,"{'lon': 139.9, 'lat': 69.3}",1567619944,2028164,"{'temp': 275.9, 'pressure': 1002.54, 'humidity': 83, 'temp_min': 275.9, 'temp_max': 275.9, 'sea_level': 1002.54, 'grnd_level': 938.77}",Deputatskiy,,"{'message': 0.0068, 'country': 'RU', 'sunrise': 1567624375, 'sunset': 1567677974}",36000,,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]","{'speed': 0.68, 'deg': 316.561}"
6,stations,{'all': 29},200,"{'lon': 147.06, 'lat': -42.78}",1567619945,2155415,"{'temp': 279.88, 'pressure': 1012, 'humidity': 97, 'temp_min': 278.15, 'temp_max': 280.93}",New Norfolk,,"{'type': 1, 'id': 9545, 'message': 0.0066, 'country': 'AU', 'sunrise': 1567629163, 'sunset': 1567669750}",36000,10000.0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]","{'speed': 2.6, 'deg': 290}"
7,stations,{'all': 95},200,"{'lon': -134.97, 'lat': -23.12}",1567619945,4030556,"{'temp': 295.9, 'pressure': 1018.66, 'humidity': 71, 'temp_min': 295.9, 'temp_max': 295.9, 'sea_level': 1018.66, 'grnd_level': 1018.77}",Rikitea,{'3h': 0.688},"{'message': 0.0111, 'country': 'PF', 'sunrise': 1567609667, 'sunset': 1567651830}",-32400,,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]","{'speed': 3.31, 'deg': 101.698}"
8,stations,{'all': 74},200,"{'lon': -139.03, 'lat': -9.8}",1567619945,4020109,"{'temp': 299, 'pressure': 1014.29, 'humidity': 74, 'temp_min': 299, 'temp_max': 299, 'sea_level': 1014.29, 'grnd_level': 1014.35}",Atuona,,"{'message': 0.0057, 'country': 'PF', 'sunrise': 1567610217, 'sunset': 1567653229}",-34200,,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]","{'speed': 3.92, 'deg': 67.987}"
9,stations,{'all': 95},200,"{'lon': 172.79, 'lat': 3.07}",1567619946,2110227,"{'temp': 301.6, 'pressure': 1007.46, 'humidity': 74, 'temp_min': 301.6, 'temp_max': 301.6, 'sea_level': 1007.46, 'grnd_level': 1007.45}",Butaritari,,"{'message': 0.0061, 'country': 'KI', 'sunrise': 1567621390, 'sunset': 1567665176}",43200,,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]","{'speed': 2.43, 'deg': 304.03}"
